x,y
['x' => 257.919,'y' => 609.160 ]
['x' => 257.983,'y' => 609.211 ]
['x' => 258.021,'y' => 609.339 ]
['x' => 258.060,'y' => 609.377 ]
['x' => 258.098,'y' => 609.594 ]
['x' => 258.200,'y' => 609.658 ]
['x' => 258.251,'y' => 609.709 ]
['x' => 258.306,'y' => 609.798 ]
['x' => 258.475,'y' => 609.916 ]
['x' => 258.557,'y' => 610.041 ]
['x' => 258.703,'y' => 610.155 ]
['x' => 258.876,'y' => 610.246 ]
['x' => 259.338,'y' => 610.329 ]
['x' => 259.515,'y' => 610.347 ]
['x' => 259.550,'y' => 610.383 ]
['x' => 259.651,'y' => 610.313 ]
['x' => 259.738,'y' => 610.236 ]
['x' => 259.796,'y' => 610.123 ]
['x' => 259.789,'y' => 609.943 ]
['x' => 259.699,'y' => 609.531 ]
['x' => 259.696,'y' => 609.370 ]
['x' => 259.757,'y' => 609.145 ]
['x' => 259.850,'y' => 608.929 ]
['x' => 260.011,'y' => 608.707 ]
['x' => 260.092,'y' => 608.639 ]
['x' => 260.230,'y' => 608.581 ]
['x' => 260.304,'y' => 608.572 ]
['x' => 260.449,'y' => 608.594 ]
['x' => 260.497,'y' => 608.610 ]
['x' => 260.533,'y' => 608.610 ]
['x' => 260.562,'y' => 608.585 ]
['x' => 260.629,'y' => 608.543 ]
['x' => 260.784,'y' => 608.549 ]
['x' => 260.948,'y' => 608.575 ]
['x' => 261.083,'y' => 608.646 ]
['x' => 261.228,'y' => 608.758 ]
['x' => 261.305,'y' => 608.804 ]
['x' => 261.344,'y' => 608.813 ]
['x' => 261.389,'y' => 608.791 ]
['x' => 261.450,'y' => 608.746 ]
['x' => 261.502,'y' => 608.749 ]
['x' => 261.543,'y' => 608.749 ]
['x' => 261.589,'y' => 608.771 ]
['x' => 261.766,'y' => 608.807 ]
['x' => 261.804,'y' => 608.781 ]
['x' => 261.888,'y' => 608.762 ]
['x' => 261.988,'y' => 608.794 ]
['x' => 262.036,'y' => 608.810 ]
['x' => 262.145,'y' => 608.787 ]
['x' => 262.247,'y' => 608.839 ]
['x' => 262.310,'y' => 608.810 ]
['x' => 262.342,'y' => 608.752 ]
['x' => 262.390,'y' => 608.684 ]
['x' => 262.413,'y' => 608.623 ]
['x' => 262.451,'y' => 608.517 ]
['x' => 262.480,'y' => 608.501 ]
['x' => 262.512,'y' => 608.491 ]
['x' => 262.567,'y' => 608.482 ]
['x' => 262.681,'y' => 608.498 ]
['x' => 262.783,'y' => 608.491 ]
['x' => 262.890,'y' => 608.415 ]
['x' => 263.101,'y' => 608.208 ]
['x' => 263.362,'y' => 608.034 ]
['x' => 263.633,'y' => 607.825 ]
['x' => 263.752,'y' => 607.751 ]
['x' => 263.872,'y' => 607.698 ]
['x' => 263.945,'y' => 607.680 ]
['x' => 264.028,'y' => 607.600 ]
['x' => 264.051,'y' => 607.535 ]
['x' => 264.041,'y' => 607.278 ]
['x' => 263.967,'y' => 606.766 ]
['x' => 263.890,'y' => 606.689 ]
['x' => 263.842,'y' => 606.634 ]
['x' => 263.781,'y' => 606.547 ]
['x' => 263.690,'y' => 606.344 ]
['x' => 263.616,'y' => 606.103 ]
['x' => 263.607,'y' => 605.868 ]
['x' => 263.591,'y' => 605.739 ]
['x' => 263.604,'y' => 605.556 ]
['x' => 263.642,'y' => 605.440 ]
['x' => 263.713,'y' => 605.359 ]
['x' => 263.877,'y' => 605.314 ]
['x' => 264.068,'y' => 605.310 ]
['x' => 264.226,'y' => 605.322 ]
['x' => 264.428,'y' => 605.375 ]
['x' => 264.537,'y' => 605.396 ]
['x' => 264.600,'y' => 605.427 ]
['x' => 264.737,'y' => 605.443 ]
['x' => 264.833,'y' => 605.420 ]
['x' => 264.865,'y' => 605.366 ]
['x' => 264.933,'y' => 605.221 ]
['x' => 264.997,'y' => 605.118 ]
['x' => 265.155,'y' => 604.995 ]
['x' => 265.165,'y' => 604.725 ]
['x' => 265.168,'y' => 604.474 ]
['x' => 265.319,'y' => 604.078 ]
['x' => 265.403,'y' => 604.027 ]
['x' => 265.471,'y' => 603.991 ]
['x' => 265.538,'y' => 603.859 ]
['x' => 265.567,'y' => 603.827 ]
['x' => 265.622,'y' => 603.801 ]
['x' => 265.651,'y' => 603.814 ]
['x' => 265.693,'y' => 603.850 ]
['x' => 265.725,'y' => 603.866 ]
['x' => 265.776,'y' => 603.843 ]
['x' => 265.764,'y' => 603.772 ]
['x' => 265.664,'y' => 603.483 ]
['x' => 265.667,'y' => 603.306 ]
['x' => 265.593,'y' => 602.980 ]
['x' => 265.525,'y' => 602.771 ]
['x' => 265.500,'y' => 602.565 ]
['x' => 265.490,'y' => 602.446 ]
