x,y
['x' => 133.319,'y' => 476.884 ]
['x' => 133.547,'y' => 476.984 ]
['x' => 133.955,'y' => 477.114 ]
['x' => 134.200,'y' => 477.130 ]
['x' => 134.510,'y' => 477.049 ]
['x' => 134.999,'y' => 476.820 ]
['x' => 135.440,'y' => 476.706 ]
['x' => 136.239,'y' => 476.723 ]
['x' => 136.745,'y' => 476.837 ]
['x' => 137.104,'y' => 476.869 ]
['x' => 137.186,'y' => 476.918 ]
['x' => 137.479,'y' => 477.196 ]
['x' => 137.708,'y' => 477.343 ]
['x' => 138.132,'y' => 477.620 ]
['x' => 138.556,'y' => 477.734 ]
['x' => 138.899,'y' => 477.832 ]
['x' => 139.291,'y' => 477.881 ]
['x' => 140.057,'y' => 478.061 ]
['x' => 140.580,'y' => 478.338 ]
['x' => 141.183,'y' => 478.583 ]
['x' => 141.624,'y' => 478.681 ]
['x' => 142.064,'y' => 478.681 ]
['x' => 142.423,'y' => 478.713 ]
['x' => 142.782,'y' => 478.648 ]
['x' => 143.011,'y' => 478.566 ]
['x' => 143.549,'y' => 478.436 ]
['x' => 143.794,'y' => 478.501 ]
['x' => 144.169,'y' => 478.974 ]
['x' => 144.430,'y' => 479.137 ]
['x' => 144.626,'y' => 479.089 ]
['x' => 144.838,'y' => 478.991 ]
['x' => 145.083,'y' => 478.844 ]
['x' => 145.409,'y' => 478.958 ]
['x' => 145.687,'y' => 478.942 ]
['x' => 146.176,'y' => 478.681 ]
['x' => 146.813,'y' => 478.338 ]
['x' => 146.862,'y' => 478.436 ]
['x' => 146.943,'y' => 478.844 ]
['x' => 147.057,'y' => 479.399 ]
['x' => 147.256,'y' => 479.942 ]
['x' => 147.291,'y' => 479.915 ]
['x' => 147.555,'y' => 479.549 ]
['x' => 147.606,'y' => 479.346 ]
['x' => 147.812,'y' => 479.061 ]
['x' => 147.877,'y' => 478.884 ]
['x' => 147.988,'y' => 478.780 ]
['x' => 148.053,'y' => 478.729 ]
['x' => 148.150,'y' => 478.372 ]
['x' => 148.104,'y' => 478.085 ]
['x' => 148.074,'y' => 477.892 ]
['x' => 148.094,'y' => 477.780 ]
['x' => 148.145,'y' => 477.455 ]
['x' => 148.104,'y' => 477.343 ]
['x' => 148.023,'y' => 477.292 ]
['x' => 147.911,'y' => 477.242 ]
['x' => 147.860,'y' => 477.231 ]
['x' => 147.809,'y' => 477.221 ]
['x' => 147.738,'y' => 477.242 ]
['x' => 147.667,'y' => 477.272 ]
['x' => 147.525,'y' => 477.272 ]
['x' => 147.291,'y' => 477.364 ]
['x' => 147.169,'y' => 477.435 ]
['x' => 146.945,'y' => 477.546 ]
['x' => 146.826,'y' => 477.576 ]
['x' => 146.605,'y' => 477.637 ]
['x' => 146.313,'y' => 477.762 ]
['x' => 146.179,'y' => 477.808 ]
['x' => 145.958,'y' => 477.884 ]
['x' => 145.731,'y' => 477.928 ]
['x' => 145.589,'y' => 477.907 ]
['x' => 145.508,'y' => 477.826 ]
['x' => 145.406,'y' => 477.796 ]
['x' => 145.244,'y' => 477.826 ]
['x' => 145.111,'y' => 477.856 ]
['x' => 145.010,'y' => 477.877 ]
['x' => 144.863,'y' => 477.889 ]
['x' => 144.739,'y' => 477.831 ]
['x' => 144.629,'y' => 477.692 ]
['x' => 144.211,'y' => 477.506 ]
['x' => 143.982,'y' => 477.386 ]
['x' => 143.931,'y' => 477.300 ]
['x' => 143.880,'y' => 477.102 ]
['x' => 143.916,'y' => 477.041 ]
['x' => 143.966,'y' => 476.983 ]
['x' => 144.032,'y' => 476.909 ]
['x' => 144.155,'y' => 476.787 ]
['x' => 144.272,'y' => 476.680 ]
['x' => 144.333,'y' => 476.628 ]
['x' => 144.475,'y' => 476.595 ]
['x' => 144.893,'y' => 476.603 ]
['x' => 145.141,'y' => 476.670 ]
['x' => 145.329,'y' => 476.696 ]
['x' => 145.517,'y' => 476.635 ]
['x' => 146.007,'y' => 476.458 ]
['x' => 146.089,'y' => 476.395 ]
['x' => 146.264,'y' => 476.334 ]
['x' => 146.411,'y' => 476.204 ]
['x' => 146.477,'y' => 476.115 ]
['x' => 146.488,'y' => 476.100 ]
['x' => 146.417,'y' => 475.948 ]
['x' => 146.361,'y' => 475.765 ]
['x' => 146.325,'y' => 475.658 ]
['x' => 146.213,'y' => 475.592 ]
['x' => 145.944,'y' => 475.399 ]
['x' => 145.725,'y' => 475.277 ]
['x' => 145.634,'y' => 475.201 ]
['x' => 145.614,'y' => 475.038 ]
['x' => 145.670,'y' => 474.957 ]
['x' => 145.919,'y' => 474.860 ]
['x' => 146.075,'y' => 474.833 ]
['x' => 146.096,'y' => 474.830 ]
['x' => 146.112,'y' => 474.733 ]
['x' => 146.132,'y' => 474.164 ]
['x' => 146.071,'y' => 473.676 ]
['x' => 146.025,'y' => 473.463 ]
['x' => 146.036,'y' => 473.341 ]
['x' => 146.127,'y' => 473.198 ]
['x' => 146.218,'y' => 473.112 ]
['x' => 146.381,'y' => 473.086 ]
['x' => 146.498,'y' => 473.107 ]
['x' => 146.595,'y' => 473.183 ]
['x' => 146.854,'y' => 473.702 ]
['x' => 146.915,'y' => 474.291 ]
['x' => 146.986,'y' => 474.926 ]
['x' => 147.260,'y' => 475.150 ]
['x' => 147.509,'y' => 475.186 ]
['x' => 147.748,'y' => 475.191 ]
['x' => 147.752,'y' => 475.189 ]
['x' => 147.850,'y' => 475.150 ]
['x' => 147.921,'y' => 475.079 ]
['x' => 147.977,'y' => 475.033 ]
['x' => 148.038,'y' => 475.013 ]
['x' => 148.084,'y' => 475.023 ]
['x' => 148.140,'y' => 475.033 ]
['x' => 148.246,'y' => 475.084 ]
['x' => 148.312,'y' => 475.135 ]
['x' => 148.404,'y' => 475.175 ]
['x' => 148.516,'y' => 475.165 ]
['x' => 148.597,'y' => 475.114 ]
['x' => 148.714,'y' => 475.094 ]
['x' => 148.800,'y' => 475.099 ]
['x' => 148.866,'y' => 475.079 ]
['x' => 148.877,'y' => 475.003 ]
['x' => 148.861,'y' => 474.901 ]
['x' => 148.841,'y' => 474.759 ]
['x' => 148.790,'y' => 474.225 ]
['x' => 148.709,'y' => 474.001 ]
['x' => 148.587,'y' => 473.920 ]
['x' => 148.516,'y' => 473.940 ]
['x' => 148.470,'y' => 473.910 ]
['x' => 148.439,'y' => 473.849 ]
['x' => 148.424,'y' => 473.635 ]
['x' => 148.480,'y' => 473.427 ]
['x' => 148.399,'y' => 472.965 ]
['x' => 148.287,'y' => 472.695 ]
['x' => 148.231,'y' => 472.385 ]
['x' => 148.180,'y' => 472.151 ]
['x' => 148.084,'y' => 471.918 ]
['x' => 148.150,'y' => 471.704 ]
['x' => 148.262,'y' => 471.582 ]
['x' => 148.419,'y' => 471.282 ]
['x' => 148.607,'y' => 470.850 ]
['x' => 148.760,'y' => 470.688 ]
['x' => 148.836,'y' => 470.606 ]
['x' => 148.917,'y' => 470.611 ]
['x' => 149.034,'y' => 470.596 ]
['x' => 149.065,'y' => 470.540 ]
['x' => 149.161,'y' => 470.449 ]
['x' => 149.268,'y' => 470.438 ]
['x' => 149.349,'y' => 470.479 ]
['x' => 149.390,'y' => 470.586 ]
['x' => 149.415,'y' => 470.982 ]
['x' => 149.487,'y' => 471.181 ]
['x' => 149.629,'y' => 471.282 ]
['x' => 149.685,'y' => 471.364 ]
['x' => 149.700,'y' => 471.430 ]
['x' => 149.670,'y' => 471.536 ]
['x' => 149.654,'y' => 471.577 ]
['x' => 149.609,'y' => 471.882 ]
['x' => 149.664,'y' => 472.090 ]
['x' => 149.842,'y' => 472.436 ]
['x' => 149.974,'y' => 472.578 ]
['x' => 150.152,'y' => 472.787 ]
['x' => 150.178,'y' => 472.959 ]
['x' => 150.269,'y' => 473.102 ]
['x' => 150.412,'y' => 473.447 ]
['x' => 150.666,'y' => 473.727 ]
['x' => 150.793,'y' => 473.839 ]
['x' => 150.874,'y' => 473.905 ]
['x' => 150.936,'y' => 473.919 ]
['x' => 150.940,'y' => 473.920 ]
['x' => 151.011,'y' => 473.864 ]
['x' => 151.209,'y' => 473.585 ]
['x' => 151.514,'y' => 472.929 ]
['x' => 152.160,'y' => 471.303 ]
['x' => 152.389,'y' => 470.693 ]
['x' => 152.546,'y' => 470.088 ]
['x' => 152.658,'y' => 469.554 ]
['x' => 152.724,'y' => 469.229 ]
['x' => 152.699,'y' => 469.127 ]
['x' => 152.775,'y' => 468.827 ]
['x' => 152.805,'y' => 468.497 ]
['x' => 152.790,'y' => 468.370 ]
['x' => 152.841,'y' => 468.136 ]
['x' => 152.831,'y' => 467.872 ]
['x' => 152.932,'y' => 467.282 ]
['x' => 152.897,'y' => 466.926 ]
['x' => 152.790,'y' => 466.479 ]
['x' => 152.765,'y' => 466.017 ]
['x' => 152.658,'y' => 465.859 ]
['x' => 152.602,'y' => 465.778 ]
['x' => 152.612,'y' => 465.702 ]
['x' => 152.724,'y' => 465.463 ]
['x' => 152.811,'y' => 465.412 ]
['x' => 153.009,'y' => 465.315 ]
['x' => 153.049,'y' => 465.219 ]
['x' => 153.288,'y' => 465.026 ]
['x' => 153.400,'y' => 464.721 ]
['x' => 153.532,'y' => 464.004 ]
['x' => 153.568,'y' => 463.943 ]
['x' => 153.597,'y' => 463.566 ]
['x' => 153.624,'y' => 463.231 ]
['x' => 153.776,'y' => 462.779 ]
['x' => 153.751,'y' => 462.500 ]
['x' => 153.751,'y' => 462.347 ]
['x' => 153.776,'y' => 462.184 ]
['x' => 153.736,'y' => 462.042 ]
['x' => 153.624,'y' => 461.864 ]
['x' => 153.593,'y' => 461.559 ]
['x' => 153.649,'y' => 460.792 ]
['x' => 153.670,'y' => 460.339 ]
['x' => 153.695,'y' => 460.273 ]
['x' => 153.649,'y' => 459.948 ]
['x' => 153.690,'y' => 459.862 ]
['x' => 153.658,'y' => 459.684 ]
['x' => 153.634,'y' => 459.552 ]
['x' => 153.634,'y' => 459.404 ]
['x' => 153.624,'y' => 459.287 ]
['x' => 153.603,'y' => 459.216 ]
['x' => 153.481,'y' => 458.982 ]
['x' => 153.385,'y' => 458.347 ]
['x' => 153.436,'y' => 457.885 ]
['x' => 153.385,'y' => 457.829 ]
['x' => 153.329,'y' => 457.717 ]
['x' => 153.409,'y' => 457.566 ]
['x' => 153.410,'y' => 457.564 ]
['x' => 153.486,'y' => 457.259 ]
['x' => 153.512,'y' => 457.198 ]
['x' => 153.548,'y' => 457.188 ]
['x' => 153.649,'y' => 457.214 ]
['x' => 153.715,'y' => 457.259 ]
['x' => 153.725,'y' => 457.229 ]
['x' => 153.715,'y' => 457.193 ]
['x' => 153.649,'y' => 457.092 ]
['x' => 153.619,'y' => 456.838 ]
['x' => 153.634,'y' => 456.721 ]
['x' => 153.690,'y' => 456.573 ]
['x' => 153.730,'y' => 456.507 ]
['x' => 153.791,'y' => 456.461 ]
['x' => 153.842,'y' => 456.431 ]
['x' => 153.903,'y' => 456.436 ]
['x' => 153.959,'y' => 456.456 ]
['x' => 154.030,'y' => 456.528 ]
['x' => 154.102,'y' => 456.761 ]
['x' => 154.152,'y' => 456.838 ]
['x' => 154.163,'y' => 457.209 ]
['x' => 154.213,'y' => 456.883 ]
['x' => 154.198,'y' => 456.324 ]
['x' => 154.200,'y' => 456.319 ]
['x' => 154.254,'y' => 456.126 ]
['x' => 154.295,'y' => 455.821 ]
['x' => 154.208,'y' => 455.567 ]
['x' => 154.122,'y' => 455.196 ]
['x' => 154.000,'y' => 454.942 ]
['x' => 153.949,'y' => 454.708 ]
['x' => 153.908,'y' => 454.530 ]
['x' => 153.812,'y' => 454.454 ]
['x' => 153.723,'y' => 454.323 ]
['x' => 153.662,'y' => 454.284 ]
['x' => 153.614,'y' => 453.727 ]
['x' => 153.609,'y' => 453.468 ]
['x' => 153.603,'y' => 453.275 ]
['x' => 153.690,'y' => 453.158 ]
['x' => 153.649,'y' => 452.746 ]
['x' => 153.675,'y' => 452.650 ]
['x' => 153.725,'y' => 452.568 ]
['x' => 153.720,'y' => 452.411 ]
['x' => 153.797,'y' => 452.411 ]
['x' => 153.863,'y' => 452.411 ]
['x' => 153.919,'y' => 452.334 ]
['x' => 153.934,'y' => 452.253 ]
['x' => 153.959,'y' => 452.151 ]
['x' => 154.025,'y' => 452.040 ]
['x' => 154.041,'y' => 451.953 ]
['x' => 154.122,'y' => 451.511 ]
['x' => 154.218,'y' => 451.323 ]
['x' => 154.503,'y' => 451.099 ]
['x' => 154.569,'y' => 450.993 ]
['x' => 154.630,'y' => 450.962 ]
['x' => 154.701,'y' => 450.962 ]
['x' => 154.747,'y' => 450.998 ]
['x' => 154.777,'y' => 451.018 ]
['x' => 154.798,'y' => 451.064 ]
['x' => 154.828,'y' => 451.104 ]
['x' => 154.879,'y' => 451.181 ]
['x' => 154.940,'y' => 451.216 ]
['x' => 155.021,'y' => 451.257 ]
['x' => 155.337,'y' => 451.298 ]
['x' => 155.469,'y' => 451.303 ]
['x' => 155.560,'y' => 451.242 ]
['x' => 155.657,'y' => 451.120 ]
['x' => 155.702,'y' => 451.094 ]
['x' => 155.830,'y' => 451.089 ]
['x' => 155.855,'y' => 451.033 ]
['x' => 155.845,'y' => 450.947 ]
['x' => 155.860,'y' => 450.840 ]
['x' => 156.033,'y' => 450.667 ]
['x' => 156.129,'y' => 450.632 ]
['x' => 156.221,'y' => 450.642 ]
['x' => 156.317,'y' => 450.667 ]
['x' => 156.353,'y' => 450.713 ]
['x' => 156.368,'y' => 450.744 ]
['x' => 156.409,'y' => 450.764 ]
['x' => 156.546,'y' => 450.733 ]
['x' => 156.546,'y' => 450.627 ]
['x' => 156.546,'y' => 450.520 ]
['x' => 156.572,'y' => 450.459 ]
['x' => 156.617,'y' => 450.423 ]
['x' => 156.673,'y' => 450.383 ]
['x' => 156.699,'y' => 450.226 ]
['x' => 156.699,'y' => 450.225 ]
['x' => 156.841,'y' => 450.200 ]
['x' => 156.816,'y' => 450.124 ]
['x' => 156.775,'y' => 450.001 ]
['x' => 156.760,'y' => 449.813 ]
['x' => 156.800,'y' => 449.600 ]
['x' => 156.877,'y' => 449.407 ]
['x' => 156.963,'y' => 449.270 ]
['x' => 157.009,'y' => 449.254 ]
['x' => 157.095,'y' => 449.280 ]
['x' => 157.156,'y' => 449.315 ]
['x' => 157.187,'y' => 449.351 ]
['x' => 157.207,'y' => 449.392 ]
['x' => 157.212,'y' => 449.427 ]
['x' => 157.187,'y' => 449.483 ]
['x' => 157.166,'y' => 449.559 ]
['x' => 157.187,'y' => 449.630 ]
['x' => 157.253,'y' => 449.605 ]
['x' => 157.344,'y' => 449.458 ]
['x' => 157.319,'y' => 449.153 ]
['x' => 157.237,'y' => 448.960 ]
['x' => 157.136,'y' => 448.639 ]
['x' => 156.948,'y' => 448.167 ]
['x' => 156.877,'y' => 448.019 ]
['x' => 156.851,'y' => 447.847 ]
['x' => 156.831,'y' => 447.465 ]
['x' => 156.617,'y' => 446.916 ]
['x' => 156.419,'y' => 446.550 ]
['x' => 156.348,'y' => 446.352 ]
