x,y
['x' => 118.154,'y' => 399.209 ]
['x' => 117.891,'y' => 398.322 ]
['x' => 118.394,'y' => 396.356 ]
['x' => 118.106,'y' => 393.623 ]
['x' => 118.011,'y' => 391.273 ]
['x' => 117.339,'y' => 388.444 ]
['x' => 117.339,'y' => 387.437 ]
['x' => 117.555,'y' => 386.166 ]
['x' => 118.130,'y' => 384.847 ]
['x' => 118.634,'y' => 383.265 ]
['x' => 119.293,'y' => 382.186 ]
['x' => 119.713,'y' => 380.987 ]
['x' => 120.101,'y' => 380.437 ]
['x' => 120.086,'y' => 379.964 ]
['x' => 119.882,'y' => 379.352 ]
['x' => 119.199,'y' => 378.489 ]
['x' => 118.329,'y' => 377.757 ]
['x' => 117.988,'y' => 377.470 ]
['x' => 116.885,'y' => 376.775 ]
['x' => 116.106,'y' => 376.247 ]
['x' => 115.602,'y' => 375.840 ]
['x' => 115.339,'y' => 375.504 ]
['x' => 114.811,'y' => 374.785 ]
['x' => 114.128,'y' => 373.742 ]
['x' => 113.744,'y' => 373.262 ]
['x' => 112.977,'y' => 372.471 ]
['x' => 112.382,'y' => 371.434 ]
['x' => 111.967,'y' => 371.429 ]
['x' => 111.868,'y' => 370.950 ]
['x' => 111.700,'y' => 370.088 ]
['x' => 111.712,'y' => 369.444 ]
['x' => 111.652,'y' => 368.970 ]
['x' => 111.454,'y' => 368.353 ]
['x' => 111.341,'y' => 367.843 ]
['x' => 111.472,'y' => 367.388 ]
['x' => 111.718,'y' => 366.794 ]
['x' => 111.796,'y' => 366.597 ]
['x' => 111.784,'y' => 366.045 ]
['x' => 111.574,'y' => 365.344 ]
['x' => 111.562,'y' => 364.780 ]
['x' => 111.754,'y' => 364.379 ]
['x' => 111.910,'y' => 363.899 ]
['x' => 111.964,'y' => 363.695 ]
['x' => 111.976,'y' => 363.492 ]
['x' => 112.072,'y' => 363.138 ]
['x' => 112.234,'y' => 362.497 ]
['x' => 112.358,'y' => 362.033 ]
['x' => 112.431,'y' => 361.759 ]
['x' => 112.611,'y' => 361.711 ]
['x' => 112.715,'y' => 361.308 ]
['x' => 112.799,'y' => 361.008 ]
['x' => 112.799,'y' => 360.553 ]
['x' => 112.787,'y' => 359.965 ]
['x' => 112.760,'y' => 359.909 ]
['x' => 112.631,'y' => 359.642 ]
['x' => 112.523,'y' => 359.354 ]
['x' => 112.499,'y' => 358.958 ]
['x' => 112.349,'y' => 358.353 ]
['x' => 111.816,'y' => 357.622 ]
['x' => 111.456,'y' => 357.370 ]
['x' => 111.120,'y' => 357.238 ]
['x' => 110.815,'y' => 357.178 ]
['x' => 110.311,'y' => 357.160 ]
['x' => 109.894,'y' => 357.217 ]
['x' => 109.454,'y' => 357.076 ]
['x' => 108.720,'y' => 357.073 ]
['x' => 108.120,'y' => 357.095 ]
['x' => 108.103,'y' => 357.142 ]
['x' => 108.116,'y' => 357.291 ]
['x' => 108.209,'y' => 357.377 ]
['x' => 108.198,'y' => 357.625 ]
['x' => 108.227,'y' => 357.758 ]
['x' => 108.128,'y' => 357.923 ]
['x' => 108.111,'y' => 358.056 ]
['x' => 108.053,'y' => 358.250 ]
['x' => 108.007,'y' => 358.296 ]
['x' => 108.007,'y' => 358.571 ]
['x' => 108.053,'y' => 358.617 ]
['x' => 108.134,'y' => 358.846 ]
['x' => 108.117,'y' => 358.978 ]
['x' => 108.181,'y' => 359.081 ]
['x' => 108.155,'y' => 359.200 ]
['x' => 108.201,'y' => 359.292 ]
['x' => 108.201,'y' => 359.338 ]
['x' => 108.431,'y' => 359.568 ]
['x' => 108.476,'y' => 359.568 ]
['x' => 108.522,'y' => 359.614 ]
['x' => 108.614,'y' => 359.614 ]
['x' => 108.660,'y' => 359.724 ]
['x' => 108.798,'y' => 359.724 ]
['x' => 108.844,'y' => 359.770 ]
['x' => 108.982,'y' => 359.770 ]
['x' => 109.027,'y' => 359.725 ]
['x' => 109.165,'y' => 359.725 ]
['x' => 109.257,'y' => 359.679 ]
['x' => 109.395,'y' => 359.679 ]
['x' => 109.441,'y' => 359.633 ]
['x' => 109.533,'y' => 359.633 ]
['x' => 109.579,'y' => 359.587 ]
['x' => 109.625,'y' => 359.587 ]
['x' => 109.671,'y' => 359.541 ]
['x' => 109.763,'y' => 359.541 ]
['x' => 109.809,'y' => 359.495 ]
['x' => 109.895,'y' => 359.460 ]
['x' => 110.211,'y' => 359.168 ]
['x' => 110.373,'y' => 358.965 ]
['x' => 110.614,'y' => 358.863 ]
['x' => 110.706,'y' => 358.863 ]
['x' => 110.798,'y' => 358.909 ]
['x' => 110.890,'y' => 358.909 ]
['x' => 110.890,'y' => 358.955 ]
['x' => 110.844,'y' => 359.001 ]
['x' => 110.844,'y' => 359.139 ]
