x,y
['x' => 108.120,'y' => 357.095 ]
['x' => 108.720,'y' => 357.073 ]
['x' => 109.454,'y' => 357.076 ]
['x' => 109.894,'y' => 357.217 ]
['x' => 110.311,'y' => 357.160 ]
['x' => 110.815,'y' => 357.178 ]
['x' => 111.120,'y' => 357.238 ]
['x' => 111.456,'y' => 357.370 ]
['x' => 111.816,'y' => 357.622 ]
['x' => 112.349,'y' => 358.353 ]
['x' => 112.499,'y' => 358.958 ]
['x' => 112.523,'y' => 359.354 ]
['x' => 112.631,'y' => 359.642 ]
['x' => 112.760,'y' => 359.909 ]
['x' => 112.787,'y' => 359.965 ]
['x' => 112.799,'y' => 360.553 ]
['x' => 112.799,'y' => 361.008 ]
['x' => 112.715,'y' => 361.308 ]
['x' => 112.611,'y' => 361.711 ]
['x' => 112.431,'y' => 361.759 ]
['x' => 112.358,'y' => 362.033 ]
['x' => 112.234,'y' => 362.497 ]
['x' => 112.072,'y' => 363.138 ]
['x' => 111.976,'y' => 363.492 ]
['x' => 111.964,'y' => 363.695 ]
['x' => 111.910,'y' => 363.899 ]
['x' => 111.754,'y' => 364.379 ]
['x' => 111.562,'y' => 364.780 ]
['x' => 111.574,'y' => 365.344 ]
['x' => 111.784,'y' => 366.045 ]
['x' => 111.796,'y' => 366.597 ]
['x' => 111.718,'y' => 366.794 ]
['x' => 111.472,'y' => 367.388 ]
['x' => 111.341,'y' => 367.843 ]
['x' => 111.454,'y' => 368.353 ]
['x' => 111.652,'y' => 368.970 ]
['x' => 111.712,'y' => 369.444 ]
['x' => 111.700,'y' => 370.088 ]
['x' => 111.868,'y' => 370.950 ]
['x' => 111.967,'y' => 371.429 ]
['x' => 112.382,'y' => 371.434 ]
['x' => 112.977,'y' => 372.471 ]
['x' => 113.744,'y' => 373.262 ]
['x' => 114.128,'y' => 373.742 ]
['x' => 114.811,'y' => 374.785 ]
['x' => 115.339,'y' => 375.504 ]
['x' => 115.602,'y' => 375.840 ]
['x' => 116.106,'y' => 376.247 ]
