x,y
['x' => 81.242,'y' => 483.314 ]
['x' => 81.188,'y' => 483.332 ]
['x' => 81.149,'y' => 483.472 ]
['x' => 81.277,'y' => 483.613 ]
['x' => 81.251,'y' => 483.740 ]
['x' => 81.252,'y' => 483.779 ]
['x' => 81.213,'y' => 483.791 ]
['x' => 81.200,'y' => 483.919 ]
['x' => 81.277,'y' => 484.008 ]
['x' => 81.252,'y' => 484.047 ]
['x' => 81.264,'y' => 484.123 ]
['x' => 81.354,'y' => 484.187 ]
['x' => 81.366,'y' => 484.340 ]
['x' => 81.520,'y' => 484.481 ]
['x' => 81.494,'y' => 484.519 ]
['x' => 81.443,'y' => 484.519 ]
['x' => 81.405,'y' => 484.468 ]
['x' => 81.341,'y' => 484.468 ]
['x' => 81.341,'y' => 484.506 ]
['x' => 81.430,'y' => 484.659 ]
['x' => 81.571,'y' => 484.749 ]
['x' => 81.545,'y' => 484.787 ]
['x' => 81.520,'y' => 484.838 ]
['x' => 81.532,'y' => 484.889 ]
['x' => 81.634,'y' => 484.991 ]
['x' => 81.737,'y' => 484.991 ]
['x' => 81.915,'y' => 485.106 ]
['x' => 81.992,'y' => 485.196 ]
['x' => 82.005,'y' => 485.285 ]
['x' => 81.941,'y' => 485.438 ]
['x' => 81.864,'y' => 485.451 ]
['x' => 81.762,'y' => 485.464 ]
['x' => 81.685,'y' => 485.553 ]
['x' => 81.596,'y' => 485.566 ]
['x' => 81.532,'y' => 485.604 ]
['x' => 81.456,'y' => 485.706 ]
['x' => 81.417,'y' => 485.706 ]
['x' => 81.392,'y' => 485.655 ]
['x' => 81.277,'y' => 485.642 ]
['x' => 81.251,'y' => 485.604 ]
['x' => 81.149,'y' => 485.617 ]
['x' => 81.047,'y' => 485.540 ]
['x' => 80.971,'y' => 485.553 ]
['x' => 80.907,'y' => 485.591 ]
['x' => 80.792,'y' => 485.681 ]
['x' => 80.741,'y' => 485.795 ]
['x' => 80.741,'y' => 486.000 ]
['x' => 80.843,'y' => 486.115 ]
['x' => 80.945,'y' => 486.127 ]
['x' => 80.996,'y' => 486.178 ]
['x' => 81.162,'y' => 486.178 ]
['x' => 81.290,'y' => 486.166 ]
['x' => 81.341,'y' => 486.242 ]
['x' => 81.328,'y' => 486.446 ]
['x' => 81.481,'y' => 486.434 ]
['x' => 81.558,'y' => 486.434 ]
['x' => 81.583,'y' => 486.459 ]
['x' => 81.618,'y' => 486.600 ]
['x' => 81.583,'y' => 486.740 ]
['x' => 81.532,'y' => 486.740 ]
['x' => 81.481,'y' => 486.791 ]
['x' => 81.481,'y' => 486.842 ]
['x' => 81.443,'y' => 486.880 ]
['x' => 81.443,'y' => 487.008 ]
['x' => 81.532,'y' => 487.097 ]
['x' => 81.532,'y' => 487.187 ]
['x' => 81.583,'y' => 487.225 ]
['x' => 81.660,'y' => 487.225 ]
['x' => 81.711,'y' => 487.161 ]
['x' => 81.762,'y' => 487.148 ]
['x' => 81.877,'y' => 487.302 ]
['x' => 81.928,'y' => 487.302 ]
['x' => 81.966,'y' => 487.353 ]
