x,y
['x' => 436.234,'y' => 579.104 ]
['x' => 436.553,'y' => 578.935 ]
['x' => 436.761,'y' => 578.725 ]
['x' => 436.910,'y' => 578.294 ]
['x' => 436.907,'y' => 578.159 ]
['x' => 436.919,'y' => 578.055 ]
['x' => 436.922,'y' => 577.979 ]
['x' => 436.928,'y' => 577.911 ]
['x' => 436.933,'y' => 577.858 ]
['x' => 436.901,'y' => 577.810 ]
['x' => 436.698,'y' => 577.703 ]
['x' => 436.595,'y' => 577.697 ]
['x' => 436.450,'y' => 577.787 ]
['x' => 436.361,'y' => 577.802 ]
['x' => 436.145,'y' => 577.850 ]
['x' => 435.950,'y' => 577.952 ]
['x' => 435.848,'y' => 577.946 ]
['x' => 435.766,'y' => 577.904 ]
['x' => 435.721,'y' => 577.765 ]
['x' => 435.661,'y' => 577.726 ]
['x' => 435.679,'y' => 577.610 ]
['x' => 435.710,'y' => 577.511 ]
['x' => 435.789,'y' => 577.376 ]
['x' => 435.808,'y' => 577.309 ]
['x' => 435.796,'y' => 577.254 ]
['x' => 435.679,'y' => 577.106 ]
['x' => 435.630,'y' => 576.996 ]
['x' => 435.648,'y' => 576.929 ]
['x' => 435.691,'y' => 576.855 ]
['x' => 435.710,'y' => 576.787 ]
['x' => 435.691,'y' => 576.689 ]
['x' => 435.667,'y' => 576.591 ]
['x' => 435.667,'y' => 576.536 ]
['x' => 435.679,'y' => 576.462 ]
['x' => 435.587,'y' => 576.339 ]
['x' => 435.569,'y' => 576.296 ]
['x' => 435.587,'y' => 576.223 ]
['x' => 435.685,'y' => 576.100 ]
['x' => 435.667,'y' => 576.039 ]
['x' => 435.630,'y' => 576.008 ]
['x' => 435.624,'y' => 575.855 ]
['x' => 435.648,'y' => 575.812 ]
['x' => 435.759,'y' => 575.781 ]
['x' => 435.777,'y' => 575.726 ]
['x' => 435.740,'y' => 575.597 ]
['x' => 435.697,'y' => 575.523 ]
['x' => 435.734,'y' => 575.487 ]
['x' => 435.802,'y' => 575.511 ]
['x' => 435.839,'y' => 575.542 ]
['x' => 435.839,'y' => 575.480 ]
['x' => 435.777,'y' => 575.419 ]
['x' => 435.722,'y' => 575.192 ]
['x' => 435.710,'y' => 575.057 ]
['x' => 435.648,'y' => 574.701 ]
['x' => 435.562,'y' => 574.548 ]
['x' => 435.507,'y' => 574.542 ]
['x' => 435.501,'y' => 574.499 ]
['x' => 435.483,'y' => 574.400 ]
['x' => 435.440,'y' => 574.382 ]
['x' => 435.378,'y' => 574.222 ]
['x' => 435.378,'y' => 574.167 ]
['x' => 435.409,'y' => 574.118 ]
['x' => 435.427,'y' => 574.087 ]
['x' => 435.397,'y' => 573.952 ]
['x' => 435.513,'y' => 573.768 ]
['x' => 435.587,'y' => 573.351 ]
['x' => 435.673,'y' => 573.032 ]
['x' => 435.771,'y' => 573.026 ]
['x' => 435.826,'y' => 572.860 ]
['x' => 436.004,'y' => 572.799 ]
['x' => 436.047,'y' => 572.701 ]
['x' => 436.053,'y' => 572.535 ]
['x' => 436.078,'y' => 572.455 ]
['x' => 436.250,'y' => 572.326 ]
['x' => 436.464,'y' => 572.412 ]
['x' => 436.501,'y' => 572.461 ]
['x' => 436.507,'y' => 572.547 ]
['x' => 436.532,'y' => 572.676 ]
['x' => 436.569,'y' => 572.737 ]
['x' => 436.581,'y' => 572.768 ]
['x' => 436.649,'y' => 572.989 ]
['x' => 436.642,'y' => 573.087 ]
['x' => 436.599,'y' => 573.155 ]
['x' => 436.599,'y' => 573.277 ]
['x' => 436.593,'y' => 573.327 ]
['x' => 436.587,'y' => 573.480 ]
['x' => 436.581,'y' => 573.658 ]
['x' => 436.550,'y' => 573.768 ]
['x' => 436.532,'y' => 573.848 ]
['x' => 436.550,'y' => 574.130 ]
['x' => 436.581,'y' => 574.149 ]
['x' => 436.624,'y' => 574.130 ]
['x' => 436.679,'y' => 574.112 ]
['x' => 436.722,'y' => 574.216 ]
['x' => 436.747,'y' => 574.259 ]
['x' => 436.777,'y' => 574.327 ]
['x' => 436.777,'y' => 574.376 ]
['x' => 436.771,'y' => 574.505 ]
['x' => 436.814,'y' => 574.535 ]
['x' => 436.869,'y' => 574.584 ]
['x' => 436.876,'y' => 574.646 ]
['x' => 436.912,'y' => 574.695 ]
['x' => 436.937,'y' => 574.750 ]
['x' => 437.078,'y' => 574.719 ]
['x' => 437.113,'y' => 574.774 ]
['x' => 437.240,'y' => 574.730 ]
['x' => 437.356,'y' => 574.621 ]
['x' => 437.510,'y' => 574.672 ]
['x' => 437.573,'y' => 574.684 ]
['x' => 437.612,'y' => 574.736 ]
['x' => 437.676,'y' => 574.735 ]
['x' => 437.714,'y' => 574.685 ]
['x' => 437.778,'y' => 574.697 ]
['x' => 437.829,'y' => 574.723 ]
['x' => 437.893,'y' => 574.672 ]
['x' => 437.956,'y' => 574.672 ]
['x' => 437.982,'y' => 574.697 ]
