x,y
['x' => 203.155,'y' => 269.674 ]
['x' => 203.132,'y' => 269.644 ]
['x' => 203.088,'y' => 269.664 ]
['x' => 203.034,'y' => 269.703 ]
['x' => 202.941,'y' => 269.742 ]
['x' => 202.838,'y' => 269.777 ]
['x' => 202.725,'y' => 269.845 ]
['x' => 202.622,'y' => 269.909 ]
['x' => 202.568,'y' => 269.958 ]
['x' => 202.568,'y' => 269.997 ]
['x' => 202.519,'y' => 270.046 ]
['x' => 202.450,'y' => 270.046 ]
['x' => 202.372,'y' => 269.997 ]
['x' => 202.136,'y' => 270.051 ]
['x' => 202.018,'y' => 270.110 ]
['x' => 201.876,'y' => 270.149 ]
['x' => 201.803,'y' => 270.159 ]
['x' => 201.763,'y' => 270.208 ]
['x' => 201.729,'y' => 270.228 ]
['x' => 201.508,'y' => 270.277 ]
['x' => 201.361,'y' => 270.247 ]
['x' => 201.322,'y' => 270.292 ]
['x' => 201.288,'y' => 270.370 ]
['x' => 201.243,'y' => 270.414 ]
['x' => 201.155,'y' => 270.444 ]
['x' => 201.028,'y' => 270.454 ]
['x' => 200.944,'y' => 270.409 ]
['x' => 200.885,'y' => 270.424 ]
['x' => 200.748,'y' => 270.449 ]
['x' => 200.542,'y' => 270.473 ]
['x' => 200.478,'y' => 270.478 ]
['x' => 200.375,'y' => 270.527 ]
['x' => 200.262,'y' => 270.586 ]
['x' => 200.174,'y' => 270.591 ]
['x' => 200.101,'y' => 270.601 ]
['x' => 200.042,'y' => 270.684 ]
['x' => 200.032,'y' => 270.861 ]
['x' => 199.901,'y' => 270.941 ]
['x' => 199.576,'y' => 271.062 ]
['x' => 199.522,'y' => 271.184 ]
['x' => 199.424,'y' => 271.508 ]
['x' => 199.316,'y' => 271.616 ]
['x' => 199.159,'y' => 271.704 ]
['x' => 199.070,'y' => 271.719 ]
['x' => 198.948,'y' => 271.685 ]
['x' => 198.928,'y' => 271.592 ]
['x' => 198.899,'y' => 271.572 ]
['x' => 198.835,'y' => 271.587 ]
['x' => 198.771,'y' => 271.616 ]
['x' => 198.683,'y' => 271.606 ]
['x' => 198.639,'y' => 271.567 ]
['x' => 198.546,'y' => 271.513 ]
['x' => 198.452,'y' => 271.444 ]
['x' => 198.364,'y' => 271.341 ]
['x' => 198.134,'y' => 271.268 ]
['x' => 198.055,'y' => 271.175 ]
['x' => 197.977,'y' => 271.130 ]
['x' => 197.937,'y' => 271.121 ]
['x' => 197.898,'y' => 271.111 ]
['x' => 197.728,'y' => 271.119 ]
['x' => 197.712,'y' => 271.008 ]
['x' => 197.333,'y' => 271.357 ]
['x' => 197.026,'y' => 271.663 ]
['x' => 196.958,'y' => 271.742 ]
['x' => 196.869,'y' => 271.895 ]
['x' => 196.859,'y' => 272.037 ]
['x' => 196.864,'y' => 272.104 ]
['x' => 196.843,'y' => 272.163 ]
['x' => 196.843,'y' => 272.227 ]
['x' => 196.715,'y' => 272.508 ]
['x' => 196.767,'y' => 272.731 ]
['x' => 196.782,'y' => 272.857 ]
['x' => 196.819,'y' => 272.973 ]
['x' => 196.852,'y' => 273.035 ]
['x' => 196.993,'y' => 273.266 ]
['x' => 197.036,'y' => 273.422 ]
['x' => 197.087,'y' => 273.588 ]
['x' => 197.174,'y' => 273.755 ]
['x' => 197.315,'y' => 274.124 ]
['x' => 197.409,'y' => 274.355 ]
['x' => 197.413,'y' => 274.427 ]
['x' => 197.445,'y' => 274.504 ]
['x' => 197.536,'y' => 274.532 ]
['x' => 197.594,'y' => 274.648 ]
['x' => 197.622,'y' => 274.684 ]
['x' => 197.666,'y' => 274.742 ]
['x' => 197.662,'y' => 274.872 ]
['x' => 197.630,'y' => 274.963 ]
['x' => 197.648,'y' => 275.046 ]
['x' => 197.659,'y' => 275.259 ]
['x' => 197.604,'y' => 275.419 ]
['x' => 197.507,'y' => 275.505 ]
['x' => 197.427,'y' => 275.524 ]
['x' => 197.362,'y' => 275.538 ]
['x' => 197.326,'y' => 275.614 ]
['x' => 197.315,'y' => 275.701 ]
['x' => 197.264,'y' => 275.737 ]
['x' => 197.210,'y' => 275.874 ]
['x' => 197.138,'y' => 275.994 ]
['x' => 196.895,'y' => 276.243 ]
['x' => 196.722,'y' => 276.493 ]
['x' => 196.490,'y' => 276.753 ]
['x' => 196.411,'y' => 276.837 ]
['x' => 196.356,'y' => 276.866 ]
['x' => 196.270,'y' => 276.869 ]
['x' => 196.125,'y' => 276.790 ]
['x' => 196.053,'y' => 276.750 ]
['x' => 196.002,'y' => 276.717 ]
['x' => 196.016,'y' => 276.685 ]
['x' => 196.016,'y' => 276.649 ]
['x' => 195.987,'y' => 276.609 ]
['x' => 195.926,'y' => 276.511 ]
['x' => 195.883,'y' => 276.421 ]
['x' => 195.886,'y' => 276.319 ]
['x' => 195.995,'y' => 276.063 ]
['x' => 196.024,'y' => 275.972 ]
['x' => 196.067,'y' => 275.860 ]
['x' => 196.136,'y' => 275.762 ]
['x' => 196.165,'y' => 275.697 ]
['x' => 196.147,'y' => 275.524 ]
['x' => 196.067,'y' => 275.270 ]
['x' => 196.038,'y' => 275.202 ]
['x' => 196.031,'y' => 275.064 ]
['x' => 195.998,'y' => 274.623 ]
['x' => 195.908,'y' => 274.362 ]
['x' => 195.817,'y' => 274.127 ]
['x' => 195.626,'y' => 273.867 ]
['x' => 195.477,'y' => 273.708 ]
['x' => 195.350,'y' => 273.783 ]
['x' => 195.299,'y' => 273.822 ]
['x' => 195.247,'y' => 273.899 ]
['x' => 195.082,'y' => 273.912 ]
['x' => 195.043,'y' => 273.950 ]
['x' => 194.940,'y' => 274.072 ]
['x' => 194.884,'y' => 274.174 ]
['x' => 194.669,'y' => 274.414 ]
['x' => 194.608,'y' => 274.462 ]
['x' => 194.587,'y' => 274.675 ]
['x' => 194.551,'y' => 274.717 ]
['x' => 194.418,'y' => 274.895 ]
['x' => 194.290,'y' => 274.874 ]
['x' => 194.201,'y' => 274.907 ]
['x' => 193.729,'y' => 274.907 ]
['x' => 193.677,'y' => 274.946 ]
['x' => 193.563,'y' => 274.946 ]
['x' => 193.524,'y' => 274.984 ]
['x' => 193.397,'y' => 274.984 ]
['x' => 193.307,'y' => 275.061 ]
['x' => 193.218,'y' => 275.073 ]
['x' => 193.129,'y' => 275.035 ]
['x' => 193.090,'y' => 275.010 ]
['x' => 193.090,'y' => 274.971 ]
['x' => 192.835,'y' => 274.984 ]
['x' => 192.758,'y' => 274.971 ]
['x' => 192.733,'y' => 274.933 ]
['x' => 192.695,'y' => 274.933 ]
['x' => 192.631,'y' => 275.010 ]
['x' => 192.465,'y' => 274.971 ]
['x' => 192.388,'y' => 275.035 ]
['x' => 192.377,'y' => 275.034 ]
['x' => 192.184,'y' => 275.022 ]
['x' => 192.197,'y' => 274.984 ]
['x' => 192.401,'y' => 274.882 ]
['x' => 192.388,'y' => 274.831 ]
['x' => 192.299,'y' => 274.805 ]
['x' => 192.210,'y' => 274.818 ]
['x' => 192.197,'y' => 274.780 ]
['x' => 192.171,'y' => 274.754 ]
['x' => 192.120,'y' => 274.741 ]
['x' => 192.095,'y' => 274.716 ]
['x' => 192.133,'y' => 274.639 ]
['x' => 192.184,'y' => 274.627 ]
['x' => 192.222,'y' => 274.512 ]
['x' => 192.044,'y' => 274.524 ]
['x' => 191.954,'y' => 274.473 ]
['x' => 191.878,'y' => 274.448 ]
['x' => 191.827,'y' => 274.410 ]
['x' => 191.674,'y' => 274.448 ]
['x' => 191.648,'y' => 274.422 ]
['x' => 191.610,'y' => 274.397 ]
['x' => 191.495,'y' => 274.359 ]
['x' => 191.303,'y' => 274.359 ]
['x' => 191.265,'y' => 274.320 ]
['x' => 191.227,'y' => 274.307 ]
['x' => 191.227,'y' => 274.269 ]
['x' => 191.163,'y' => 274.256 ]
['x' => 191.137,'y' => 274.231 ]
['x' => 191.112,'y' => 274.205 ]
['x' => 191.074,'y' => 274.231 ]
['x' => 190.946,'y' => 274.218 ]
['x' => 190.933,'y' => 274.256 ]
['x' => 190.793,'y' => 274.295 ]
['x' => 190.780,'y' => 274.256 ]
['x' => 190.742,'y' => 274.231 ]
['x' => 190.627,'y' => 274.167 ]
['x' => 190.563,'y' => 274.129 ]
['x' => 190.486,'y' => 274.116 ]
['x' => 190.435,'y' => 274.078 ]
['x' => 190.321,'y' => 274.090 ]
['x' => 190.282,'y' => 274.180 ]
['x' => 190.195,'y' => 274.229 ]
['x' => 190.078,'y' => 274.359 ]
['x' => 189.963,'y' => 274.422 ]
['x' => 189.912,'y' => 274.410 ]
['x' => 190.027,'y' => 274.282 ]
['x' => 190.091,'y' => 274.116 ]
['x' => 190.040,'y' => 274.100 ]
['x' => 189.950,'y' => 274.167 ]
['x' => 189.784,'y' => 274.397 ]
['x' => 189.682,'y' => 274.422 ]
['x' => 189.657,'y' => 274.397 ]
['x' => 189.682,'y' => 274.333 ]
['x' => 189.784,'y' => 274.295 ]
['x' => 189.810,'y' => 274.244 ]
['x' => 189.797,'y' => 274.167 ]
['x' => 189.772,'y' => 274.129 ]
['x' => 189.772,'y' => 274.065 ]
['x' => 189.721,'y' => 274.065 ]
['x' => 189.670,'y' => 274.116 ]
['x' => 189.491,'y' => 274.142 ]
['x' => 189.491,'y' => 274.103 ]
['x' => 189.644,'y' => 274.027 ]
['x' => 189.644,'y' => 273.950 ]
['x' => 189.618,'y' => 273.925 ]
['x' => 189.567,'y' => 273.899 ]
['x' => 189.478,'y' => 273.861 ]
['x' => 189.376,'y' => 273.873 ]
['x' => 189.453,'y' => 273.810 ]
['x' => 189.350,'y' => 273.771 ]
['x' => 189.200,'y' => 273.844 ]
['x' => 189.031,'y' => 273.925 ]
['x' => 188.968,'y' => 273.925 ]
['x' => 188.942,'y' => 273.976 ]
['x' => 188.814,'y' => 274.052 ]
['x' => 188.819,'y' => 274.090 ]
['x' => 188.789,'y' => 274.141 ]
['x' => 188.725,'y' => 274.154 ]
['x' => 188.559,'y' => 274.307 ]
['x' => 188.444,'y' => 274.282 ]
['x' => 188.355,'y' => 274.307 ]
['x' => 188.304,'y' => 274.282 ]
['x' => 188.227,'y' => 274.282 ]
['x' => 188.023,'y' => 274.448 ]
['x' => 188.010,'y' => 274.588 ]
['x' => 187.908,'y' => 274.665 ]
